Wavelength,Species,Brightness,Blended? ,Lifetime,Notes,,,Lower State,Upper State
1381.552,S I,,No,5.42E+05,Descending part of Gaussian,,,,
1385.51,S I,,No,1.25E+06,Peak next to other peak,,,,
1388.435,S I,,No,5.54E+05,Plateud Gaussian peak,,,,
1389.154,S I,,Yes w/ Cl ,1.69e+05 ,Dip between two peaks,,,,
1389.693,Cl I,,Yes w/ S l ,2.30E+05,Curvy peak with shallow dip,,,,
1389.957,Cl I,,Yes w/ Self,1.70E+06,"Same peak, descending portion",,,,
1392.588,S I,,No,5.16E+05,Descending part of Gaussian,,,,
1396.112,S I,,No,5.75E+05,Plateud Gaussian peak,,,,
1401.514,S I,,No,7.48e+07 ,Peak with bump after line,,,,
1404.808,S IV,,Yes w/ Self,5.73E+04,"Low flux, many Gaussians",,,,
1406.009,S IV,,Yes w/ Self,4.54e+04 ,Dip between two peaks,,,,
1409.337,S I,,No,4.35E+07,Just right of the highest point of peak,,,,
1412.873,S I,,No,1.42E+07,Dip between two peaks,,,,
1416.887,S IV,,No,1.64e+04 ,Ascending part of large peak,,,,
1423.845,S IV,,Yes w/ S I,4.45E+04,Low flux Gaussian,,,,
1425.03,S I,,Yes w/ Self,3.79E+08,"High flux, smooth Gaussian",,,,
1425.219,S I,,Yes w/ Self,1.05E+07,Descending part of Gaussian,,,,
1433.28,S I,,Yes w/ Self,2.81E+08,Ascending part of large peak,,,,
1433.311,S I,,Yes w/ Self,1.56E+08,Top of same peak,,,,
1436.968,S I,,No,2.07E+08,Plateud Gaussian peak,,,,
1448.229,S I,,No,5.00E+08,Plateud Gaussian peak,,,,
